date,poondi_inflow_total,poondi_outflow_total,cholavaram_inflow_total,cholavaram_outflow_total,redhills_inflow_total,redhills_outflow_total,chembarambakkam_inflow_total,chembarambakkam_outflow_total,veeranam_inflow_total,veeranam_outflow_total,thervoykandigai_inflow_total,thervoykandigai_outflow_total,poondi_net,cholavaram_net,redhills_net,chembar_net,veeranam_net,thervoy_net,city_supply,supply_index,anomaly_score,anomaly,water_stress_level,anomaly_norm,leak_probability,alert_level,supply_change
2022-01-01,1117,1117,1261,1365,2731,3191,895,1150,310,62,175,175,0,-104,-460,-255,248,0,-571,0.2498755290017426,0.07527380010089324,1,High Stress,0.833844245638804,0.3750622354991287,LOW PRIORITY 🟢,0.0
2022-01-02,1117,1117,622,865,629,1194,900,1147,1163,350,216,216,0,-243,-565,-247,813,0,-242,0.2703510082150859,0.02315759361599634,1,High Stress,0.723358285101334,0.3701429569335175,LOW PRIORITY 🟢,329.0
2022-01-03,1117,1117,161,265,235,687,495,646,1200,355,188,188,0,-104,-452,-151,845,0,138,0.294000497883993,0.038655954646493795,1,High Stress,0.7562146923631948,0.3591426543881037,LOW PRIORITY 🟢,380.0
2022-01-04,1117,1117,154,15,294,294,300,299,918,355,175,175,0,139,0,1,563,0,703,0.32916355489171023,0.07602572904669941,1,High Stress,0.8354383292729879,0.3445517498738992,LOW PRIORITY 🟢,565.0
2022-01-05,622,622,154,15,290,290,300,298,102,524,162,162,0,139,0,2,-422,0,-281,0.2679238237490665,0.08657410771223095,1,High Stress,0.8578008116480617,0.38194497464341054,LOW PRIORITY 🟢,-984.0
2022-01-06,916,870,15,15,290,301,300,300,102,665,125,125,46,0,-11,0,-563,0,-528,0.2525516554642768,0.12180676195799445,1,High Stress,0.9324937701187793,0.3777170594324267,LOW PRIORITY 🟢,-247.0
2022-01-07,624,624,15,15,268,303,300,299,102,665,149,149,0,0,-35,1,-563,0,-597,0.2482574060243963,0.1206838999624712,1,High Stress,0.9301133112463101,0.3769867189082674,LOW PRIORITY 🟢,-69.0
2022-01-08,627,627,15,15,111,296,95,299,54,602,149,149,0,0,-185,-204,-548,0,-937,0.2270973363206373,0.07420172388372737,1,High Stress,0.8315714522293821,0.39194761376661313,LOW PRIORITY 🟢,-340.0
2022-01-09,622,622,15,15,111,289,185,297,0,497,149,149,0,0,-178,-112,-497,0,-787,0.23643266118994274,0.10683300941106921,1,High Stress,0.9007495288437191,0.3842084996669103,LOW PRIORITY 🟢,150.0
2022-01-10,622,622,15,15,111,287,185,299,0,373,149,149,0,0,-176,-114,-373,0,-663,0.24414986308190192,0.12951283403310454,1,High Stress,0.9488305841851724,0.37992959480887123,LOW PRIORITY 🟢,124.0
2022-01-11,326,326,15,15,111,285,145,297,101,349,137,137,0,0,-174,-152,-248,0,-574,0.24968882250435648,0.14444474162674342,1,High Stress,0.9804861144781923,0.37659432136987153,LOW PRIORITY 🟢,89.0
2022-01-12,326,326,15,15,111,285,145,300,0,373,119,119,0,0,-174,-155,-373,0,-702,0.2417226786158825,0.1263709319050867,1,High Stress,0.9421697756201942,0.3812078491821978,LOW PRIORITY 🟢,-128.0
2022-01-13,326,326,15,15,111,285,145,300,91,91,102,102,0,0,-174,-155,0,0,-329,0.2649365197908887,0.1472526342383908,1,High Stress,0.9864388254141625,0.3735614846891014,LOW PRIORITY 🟢,373.0
2022-01-14,266,266,15,15,111,188,145,145,91,91,102,102,0,0,-77,0,0,0,-77,0.2806198655713219,0.14600702650649666,1,High Stress,0.9837981465161099,0.36376378205430027,LOW PRIORITY 🟢,252.0
2022-01-15,266,266,15,15,111,189,65,146,91,91,102,102,0,0,-78,-81,0,0,-159,0.27551655464276825,0.1509584069086145,1,High Stress,0.9942950352310037,0.36356729655511116,LOW PRIORITY 🟢,-82.0
2022-01-16,266,266,15,15,111,185,65,147,91,91,81,81,0,0,-74,-82,0,0,-156,0.27570326114015437,0.15189274041374684,1,High Stress,0.9962758151407388,0.36219686603516044,LOW PRIORITY 🟢,3.0
